generation,single-policy_found_failures,single-policy_mean_tcp_score,single-policy_mean_failure_rate,single-policy_qd_tcp_score,single-policy_qd_failure_rate,single-policy_added_to_archive,single-policy_replaced_elite,single-policy_num_valid_test_cases,single-policy_num_sim_steps,single-policy_not_confirmed_solvable,multi-policy_found_failures,multi-policy_mean_tcp_score,multi-policy_mean_failure_rate,multi-policy_qd_tcp_score,multi-policy_qd_failure_rate,multi-policy_added_to_archive,multi-policy_replaced_elite,multi-policy_num_valid_test_cases,multi-policy_num_sim_steps,multi-policy_not_confirmed_solvable
1,2,1.0,-1,2.0,-1,51,0,2,2186,0,6,0.15555556,-1,0.93333334,-1,51,0,6,32932,0
2,2,1.0,-1,3.0,-1,39,0,3,2176,1,13,0.11111112,-1,1.6666667,-1,39,2,15,32750,1
3,4,1.0,-1,6.0,-1,39,2,6,2157,2,16,0.1636364,-1,3.6000009,-1,39,3,22,32473,2
4,46,1.0,-1,17.0,-1,44,3,17,1767,12,90,0.26976746,-1,11.6,-1,44,11,43,27394,12
5,78,1.0,-1,29.0,-1,28,6,29,1394,27,116,0.35026458,-1,22.066668,-1,28,14,63,22429,27
6,79,0.99999994,-1,41.0,-1,30,7,41,1323,30,120,0.3757576,-1,28.933336,-1,30,8,77,21002,30
7,88,1.0,-1,51.0,-1,34,5,51,1274,25,136,0.39925933,-1,35.93334,-1,34,9,90,20173,25
8,100,1.0,-1,64.0,-1,28,5,64,1104,33,137,0.40617287,-1,43.86667,-1,28,10,108,18767,33
9,101,1.0,-1,75.0,-1,31,6,75,1127,32,134,0.43278688,-1,52.800003,-1,31,12,122,18980,32
10,114,1.0,-1,85.0,-1,21,6,85,1029,30,144,0.46268663,-1,62.000008,-1,21,12,134,17919,30
11,99,1.0,-1,92.0,-1,22,3,92,1140,31,133,0.46392697,-1,67.73334,-1,22,6,146,18890,31
12,119,1.0,-1,106.0,-1,20,10,106,1062,20,151,0.46586835,-1,77.80001,-1,20,17,167,18480,20
13,96,1.0,-1,114.0,-1,24,3,114,1117,35,126,0.45598534,-1,82.53334,-1,24,7,181,18246,35
14,119,1.0,-1,129.0,-1,15,8,129,1058,23,148,0.47666666,-1,95.333336,-1,15,19,200,18551,23
15,93,1.0,-1,139.0,-1,21,4,139,1194,30,132,0.48653853,-1,101.20001,-1,21,7,208,19312,30
16,104,1.0,-1,154.0,-1,19,11,154,1087,32,134,0.50029767,-1,112.06667,-1,19,17,224,18453,32
17,110,1.0,-1,168.0,-1,17,7,168,1023,35,137,0.5137256,-1,122.26668,-1,17,14,238,17582,35
18,114,1.0,-1,182.0,-1,20,8,182,1026,30,142,0.51802856,-1,133.13335,-1,20,15,257,18199,30
19,117,0.99999994,-1,189.0,-1,9,6,189,1074,21,147,0.5280899,-1,141.0,-1,9,19,267,18625,21
20,97,1.0,-1,196.0,-1,12,5,196,1162,31,129,0.5268352,-1,145.93335,-1,12,12,277,18992,31
21,128,1.0,-1,204.0,-1,12,3,204,1054,17,148,0.53310025,-1,152.46667,-1,12,14,286,19606,17
22,104,1.0,-1,211.0,-1,18,3,211,1065,38,128,0.54175204,-1,158.73335,-1,18,15,293,18237,38
23,105,1.0,-1,221.0,-1,16,6,221,1127,30,136,0.55076253,-1,168.53334,-1,16,13,306,18426,30
24,113,1.0,-1,225.0,-1,13,3,225,1030,31,141,0.5467092,-1,171.66667,-1,13,7,314,17749,31
25,104,1.0,-1,231.0,-1,16,4,231,1013,41,126,0.54849434,-1,176.06668,-1,16,11,321,17523,41
26,96,0.99999994,-1,235.0,-1,12,2,235,1135,33,132,0.5475178,-1,180.13335,-1,12,10,329,18558,33
27,104,0.99999994,-1,242.0,-1,15,4,242,1034,41,131,0.54882354,-1,186.6,-1,15,10,340,17422,41
28,113,0.99999994,-1,249.0,-1,8,6,249,1091,26,149,0.55949616,-1,192.46667,-1,8,12,344,17474,26
29,103,1.0,-1,258.0,-1,17,3,258,1124,28,132,0.5537454,-1,197.13335,-1,17,7,356,18724,28
30,113,1.0,-1,264.0,-1,15,2,264,1107,23,143,0.54728264,-1,201.40001,-1,15,7,368,18162,23
31,101,1.0,-1,270.0,-1,12,4,270,1086,38,134,0.54768157,-1,208.66667,-1,12,14,381,18062,38
32,103,1.0,-1,275.0,-1,10,3,275,1157,28,133,0.55171824,-1,214.06668,-1,10,13,388,18703,28
33,98,1.0,-1,277.0,-1,14,2,277,1140,36,131,0.5541347,-1,216.66669,-1,14,6,391,18046,36
34,115,1.0,-1,281.0,-1,7,3,281,1084,22,151,0.556287,-1,219.73335,-1,7,9,395,17353,22
35,102,1.0,-1,288.0,-1,14,5,288,1157,28,138,0.5614558,-1,226.2667,-1,14,12,403,18559,28
36,112,1.0,-1,294.0,-1,8,6,294,1123,23,144,0.56317925,-1,231.46667,-1,8,15,411,18505,23
37,106,1.0,-1,299.0,-1,10,3,299,1103,32,141,0.56249017,-1,237.93335,-1,10,17,423,17973,32
38,101,0.99999994,-1,307.0,-1,14,5,307,1107,36,126,0.56245214,-1,244.66669,-1,14,13,435,18277,36
39,101,1.0,-1,313.0,-1,10,2,313,1107,37,133,0.5617758,-1,248.86668,-1,10,7,443,17388,37
40,108,0.99999994,-1,318.0,-1,9,4,318,1134,28,137,0.5626489,-1,252.06668,-1,9,9,448,17765,28
41,103,1.0,-1,322.0,-1,11,1,322,1121,30,137,0.5605263,-1,255.6,-1,11,3,456,18504,30
42,97,1.0,-1,326.0,-1,10,0,326,1195,27,148,0.56063217,-1,260.13333,-1,10,9,464,18160,27
43,104,0.99999994,-1,332.0,-1,12,2,332,1114,30,133,0.55710274,-1,264.0667,-1,12,9,474,18418,30
44,86,1.0,-1,333.0,-1,4,1,333,1248,32,126,0.5561625,-1,264.73334,-1,4,5,476,19514,32
45,101,1.0,-1,337.0,-1,12,1,337,1149,28,141,0.5507187,-1,268.2,-1,12,4,487,17951,28
46,109,1.0,-1,343.0,-1,8,5,343,1133,25,148,0.5497644,-1,272.13336,-1,8,6,495,18704,25
47,107,1.0,-1,348.0,-1,10,3,348,1099,27,144,0.5518519,-1,278.13336,-1,10,14,504,17600,27
48,88,1.0,-1,349.0,-1,6,0,349,1195,37,129,0.5500326,-1,281.06668,-1,6,11,511,18467,37
49,103,1.0,-1,350.0,-1,11,1,350,1127,27,137,0.5473617,-1,283.53336,-1,11,11,518,18268,27
50,100,1.0,-1,353.0,-1,5,2,353,1112,34,133,0.5480487,-1,285.53336,-1,5,7,521,18037,34
51,101,1.0,-1,354.0,-1,9,1,354,1198,24,138,0.5440657,-1,287.2667,-1,9,10,528,19684,24
52,112,1.0,-1,359.0,-1,11,4,359,1129,24,146,0.5424299,-1,290.2,-1,11,8,535,18730,24
53,111,1.0,-1,366.0,-1,6,6,366,1118,24,142,0.54217315,-1,294.40002,-1,6,14,543,18747,24
54,112,1.0,-1,372.0,-1,7,4,372,1007,34,139,0.5401213,-1,297.0667,-1,7,8,550,16966,34
55,107,0.99999994,-1,378.0,-1,8,5,378,1071,32,127,0.5418619,-1,300.73334,-1,8,11,555,17587,32
56,111,1.0,-1,381.0,-1,9,3,381,1051,30,137,0.5421272,-1,304.13336,-1,9,8,561,18025,30
57,93,1.0,-1,386.0,-1,9,4,386,1168,33,132,0.54525083,-1,308.0667,-1,9,12,565,17737,33
58,107,1.0,-1,389.0,-1,7,3,389,1087,31,135,0.5444445,-1,310.33337,-1,7,7,570,17864,31
59,96,1.0,-1,396.0,-1,9,6,396,1173,32,142,0.5419392,-1,314.86667,-1,9,13,581,18792,32
60,116,1.0,-1,399.0,-1,3,3,399,1037,27,143,0.54452056,-1,318.0,-1,3,9,584,17559,27
61,104,1.0,-1,402.0,-1,9,2,402,1136,28,134,0.54154027,-1,321.13336,-1,9,11,593,18405,28
62,110,1.0,-1,405.0,-1,12,2,405,1136,21,141,0.54109824,-1,325.20004,-1,12,11,601,18468,21
63,106,1.0,-1,412.0,-1,13,4,412,1178,23,135,0.5428885,-1,329.53336,-1,13,10,607,19540,23
64,116,1.0,-1,417.0,-1,7,3,417,1080,24,141,0.542981,-1,333.93335,-1,7,11,615,18524,24
65,104,1.0,-1,420.0,-1,2,3,420,1135,29,136,0.5478591,-1,336.93335,-1,2,7,615,18484,29
66,110,1.0,-1,420.0,-1,5,0,420,1008,40,137,0.5484603,-1,338.40002,-1,5,7,617,16646,40
67,116,0.99999994,-1,425.0,-1,5,4,425,1104,21,140,0.55048233,-1,342.40002,-1,5,10,622,18599,21
68,96,1.0,-1,430.0,-1,10,2,430,1124,39,131,0.55068785,-1,346.93335,-1,10,11,630,18198,39
69,105,0.99999994,-1,438.0,-1,8,6,438,1102,30,136,0.552021,-1,350.53336,-1,8,9,635,18011,30
70,112,1.0,-1,439.0,-1,5,1,439,1076,26,131,0.553009,-1,352.2667,-1,5,9,637,18367,26
71,104,1.0,-1,445.0,-1,4,5,445,1130,31,136,0.5538941,-1,355.60004,-1,4,7,642,18405,31
72,98,1.0,-1,447.0,-1,5,2,447,1155,29,131,0.55514216,-1,358.0667,-1,5,7,645,18579,29
73,102,1.0,-1,449.0,-1,2,1,449,1099,34,133,0.5583075,-1,360.6667,-1,2,10,646,18070,34
74,111,1.0,-1,452.0,-1,4,3,452,1104,24,146,0.55815387,-1,362.80002,-1,4,11,650,17798,24
75,100,1.0,-1,452.0,-1,5,0,452,1170,31,134,0.55752945,-1,364.0667,-1,5,5,653,18298,31
76,100,1.0,-1,458.0,-1,6,5,458,1060,42,128,0.55760324,-1,369.13336,-1,6,19,662,17501,42
77,110,1.0,-1,462.0,-1,3,4,462,1140,24,138,0.5596993,-1,372.2,-1,3,9,665,18754,24
78,114,1.0,-1,467.0,-1,5,4,467,1065,29,148,0.5582962,-1,375.73337,-1,5,12,673,18014,29
79,108,1.0,-1,471.0,-1,10,0,471,1142,24,144,0.5547059,-1,377.2,-1,10,3,680,18440,24
80,115,1.0,-1,472.0,-1,2,1,472,1113,21,147,0.55286694,-1,379.2667,-1,2,8,686,18645,21
81,100,1.0,-1,472.0,-1,5,0,472,1165,27,137,0.5509179,-1,380.13336,-1,5,6,690,18160,27
82,100,0.99999994,-1,475.0,-1,5,3,475,1157,32,130,0.5488729,-1,381.46667,-1,5,6,695,18714,32
83,107,1.0,-1,479.0,-1,3,4,479,1114,31,141,0.5483381,-1,384.93335,-1,3,11,702,17874,31
84,102,0.99999994,-1,484.0,-1,7,4,484,1108,31,130,0.54849344,-1,388.33334,-1,7,7,708,18255,31
85,93,0.99999994,-1,492.0,-1,4,7,492,1152,37,123,0.54901963,-1,392.0,-1,4,6,714,18823,37
86,107,1.0,-1,496.0,-1,3,4,496,1060,36,136,0.5483751,-1,393.73337,-1,3,8,718,17260,36
87,101,0.99999994,-1,498.0,-1,4,2,498,1199,27,142,0.5462247,-1,395.46667,-1,4,5,724,19244,27
88,102,1.0,-1,500.0,-1,6,0,500,1094,37,136,0.54549617,-1,397.6667,-1,6,3,729,17954,37
89,106,0.99999994,-1,503.0,-1,1,3,503,1116,29,137,0.54553735,-1,399.33337,-1,1,7,732,18402,29
90,113,1.0,-1,506.0,-1,5,2,506,1145,21,148,0.5448526,-1,400.46667,-1,5,5,735,18345,21
91,104,1.0,-1,506.0,-1,5,0,506,1081,31,133,0.54528993,-1,401.33337,-1,5,3,736,17669,31
92,107,1.0,-1,510.0,-1,3,3,510,1053,37,131,0.5458559,-1,403.93335,-1,3,8,740,16785,37
93,107,1.0,-1,512.0,-1,3,1,512,1143,26,139,0.5460917,-1,405.2,-1,3,5,742,18108,26
94,110,1.0,-1,517.0,-1,10,2,517,1093,30,137,0.546274,-1,408.06668,-1,10,4,747,18251,30
95,111,1.0,-1,520.0,-1,5,1,520,1078,31,146,0.54711115,-1,410.33337,-1,5,5,750,17438,31
96,112,1.0,-1,521.0,-1,5,1,521,1099,23,143,0.54625946,-1,411.33337,-1,5,6,753,17834,23
97,104,1.0,-1,526.0,-1,2,5,526,1104,33,140,0.54832447,-1,414.53333,-1,2,13,756,17895,33
98,80,1.0,-1,528.0,-1,8,2,528,1279,37,120,0.5477193,-1,416.26666,-1,8,6,760,19661,37
99,111,1.0,-1,530.0,-1,3,2,530,1133,21,144,0.5487113,-1,418.6667,-1,3,8,763,18211,21
100,114,1.0,0.5471805,532.0,291.1,4,2,532,1072,29,150,0.5459202,0.51041675,419.2667,392.00003,4,6,768,17166,29
101,104,1.0,-1,534.0,-1,5,1,534,1147,29,137,0.5456982,-1,420.73334,-1,5,3,771,18205,29
102,104,1.0,-1,537.0,-1,5,3,537,1131,32,139,0.54563445,-1,422.8667,-1,5,5,775,18369,32
103,103,1.0,-1,538.0,-1,3,1,538,1157,29,133,0.5454312,-1,423.80005,-1,3,7,777,18632,29
104,103,1.0,-1,540.0,-1,7,1,540,1187,25,135,0.54390454,-1,425.33337,-1,7,5,782,19174,25
105,103,1.0,-1,543.0,-1,4,1,543,1114,32,134,0.542132,-1,427.20004,-1,4,7,788,18461,32
106,108,1.0,-1,544.0,-1,8,1,544,1150,22,144,0.54184586,-1,428.60004,-1,8,5,791,18474,22
107,102,1.0,-1,546.0,-1,3,2,546,1123,31,135,0.540201,-1,430.0,-1,3,7,796,18383,31
108,108,1.0,-1,548.0,-1,4,2,548,1087,31,139,0.5409357,-1,431.6667,-1,4,5,798,18294,31
109,100,1.0,-1,552.0,-1,2,2,552,1218,27,133,0.54006654,-1,433.13336,-1,2,6,802,19724,27
110,104,1.0,-1,554.0,-1,2,2,554,1061,35,133,0.53953683,-1,434.8667,-1,2,7,806,17488,35
111,115,1.0,-1,556.0,-1,5,2,556,1062,28,145,0.539769,-1,436.13336,-1,5,6,808,17509,28
112,109,1.0,-1,560.0,-1,5,3,560,1131,28,142,0.5393194,-1,438.46667,-1,5,6,813,17514,28
113,104,1.0,-1,560.0,-1,5,0,560,1175,27,141,0.53946835,-1,439.6667,-1,5,6,815,18812,27
114,110,1.0,-1,561.0,-1,0,1,561,1075,30,144,0.53920853,-1,440.53336,-1,0,5,817,17852,30
115,104,1.0,-1,562.0,-1,2,1,562,1198,22,135,0.5404325,-1,441.53336,-1,2,3,817,19630,22
116,105,0.99999994,-1,564.0,-1,2,2,564,1147,29,140,0.54026085,-1,441.93335,-1,2,3,818,17974,29
117,100,1.0,-1,566.0,-1,0,2,566,1158,30,135,0.54008955,-1,442.33334,-1,0,4,819,18631,30
118,110,1.0,-1,568.0,-1,4,1,568,1134,29,135,0.54088515,-1,444.0667,-1,4,7,821,17773,29
119,94,1.0,-1,572.0,-1,4,3,572,1153,36,131,0.54000807,-1,447.6667,-1,4,12,829,18360,36
120,118,1.0,-1,574.0,-1,5,2,574,1132,18,147,0.5405536,-1,449.20004,-1,5,6,831,18741,18
121,100,1.0,-1,575.0,-1,4,0,575,1210,26,126,0.54124707,-1,451.40005,-1,4,4,834,18858,26
122,95,1.0,-1,578.0,-1,6,2,578,1222,30,132,0.53985685,-1,452.40002,-1,6,5,838,19392,30
123,96,1.0,-1,580.0,-1,4,2,580,1204,27,139,0.53910637,-1,454.46667,-1,4,4,843,18838,27
124,102,1.0,-1,582.0,-1,1,1,582,1171,28,132,0.5390996,-1,455.00003,-1,1,4,844,18772,28
125,94,1.0,-1,584.0,-1,2,2,584,1235,30,124,0.5407584,-1,456.40002,-1,2,7,844,19452,30
126,101,1.0,-1,588.0,-1,5,3,588,1072,37,130,0.54205984,-1,459.66672,-1,5,5,848,16947,37
127,99,1.0,-1,591.0,-1,1,3,591,1161,37,140,0.5407669,-1,460.73337,-1,1,6,852,17593,37
128,113,1.0,-1,594.0,-1,2,3,594,1042,30,146,0.54112154,-1,463.20004,-1,2,10,856,17222,30
129,101,1.0,-1,597.0,-1,3,2,597,1129,38,129,0.5418903,-1,464.40002,-1,3,3,857,18047,38
130,113,1.0,-1,600.0,-1,4,2,600,1125,24,143,0.543345,-1,466.73334,-1,4,9,859,18349,24
131,96,1.0,-1,601.0,-1,2,0,601,1170,35,130,0.54285717,-1,467.40002,-1,2,4,861,18460,35
132,106,1.0,-1,604.0,-1,3,2,604,1097,28,134,0.54353034,-1,469.0667,-1,3,5,863,18111,28
133,117,1.0,-1,607.0,-1,3,3,607,1105,25,146,0.54386777,-1,471.5334,-1,3,8,867,18368,25
134,100,1.0,-1,610.0,-1,3,3,610,1213,24,149,0.54248667,-1,474.13336,-1,3,10,874,19440,24
135,106,1.0,-1,612.0,-1,2,2,612,1171,25,143,0.544,-1,476.00003,-1,2,5,875,18885,25
136,110,1.0,-1,613.0,-1,2,1,613,1166,18,144,0.54445714,-1,476.40002,-1,2,5,875,19082,18
137,102,1.0,-1,615.0,-1,3,2,615,1207,27,136,0.54503995,-1,478.00003,-1,3,4,877,19106,27
138,103,1.0,-1,616.0,-1,2,1,616,1138,33,132,0.54502666,-1,478.5334,-1,2,4,878,18048,33
139,87,1.0,-1,619.0,-1,2,3,619,1263,31,129,0.5456679,-1,480.73337,-1,2,9,881,19547,31
140,110,1.0,-1,622.0,-1,3,2,622,1099,26,140,0.5459419,-1,482.0667,-1,3,4,883,18035,26
141,96,1.0,-1,622.0,-1,3,0,622,1159,33,127,0.5440812,-1,482.60004,-1,3,6,887,18729,33
142,104,1.0,-1,624.0,-1,5,2,624,1105,34,129,0.5447576,-1,483.2,-1,5,1,887,18145,34
143,99,1.0,-1,625.0,-1,3,1,625,1194,26,135,0.544282,-1,483.8667,-1,3,2,889,18873,26
144,111,1.0,-1,627.0,-1,4,1,627,1107,25,145,0.5448431,-1,486.0,-1,4,4,892,18044,25
145,110,1.0,-1,630.0,-1,3,2,630,1216,19,151,0.5441341,-1,487.00003,-1,3,7,895,19466,19
146,103,1.0,-1,631.0,-1,6,1,631,1160,25,136,0.5439496,-1,488.4667,-1,6,6,898,18562,25
147,98,1.0,-1,634.0,-1,2,2,634,1206,28,138,0.5433112,-1,490.0667,-1,2,6,902,19291,28
148,96,1.0,-1,635.0,-1,3,1,635,1252,24,136,0.5424042,-1,490.33337,-1,3,2,904,19866,24
149,105,1.0,-1,639.0,-1,5,3,639,1176,24,141,0.5420513,-1,493.2667,-1,5,8,910,18429,24
150,105,1.0,-1,640.0,-1,3,1,640,1211,20,149,0.5409836,-1,495.0,-1,3,6,915,19213,20
151,113,1.0,-1,641.0,-1,2,1,641,1112,20,141,0.5413392,-1,495.8667,-1,2,5,916,18672,20
152,110,0.99999994,-1,642.0,-1,3,1,642,1149,22,151,0.5400725,-1,496.8667,-1,3,6,920,18543,22
153,87,1.0,-1,644.0,-1,6,1,644,1293,26,123,0.53902704,-1,498.6,-1,6,8,925,19740,26
154,102,1.0,-1,644.0,-1,1,0,644,1165,28,138,0.53887093,-1,499.53336,-1,1,6,927,18891,28
155,104,1.0,-1,645.0,-1,3,1,645,1205,23,132,0.53979886,-1,500.93335,-1,3,5,928,20216,23
156,103,1.0,-1,646.0,-1,1,1,646,1196,26,143,0.5398567,-1,502.0667,-1,1,7,930,18663,26
157,104,1.0,-1,646.0,-1,1,0,646,1180,25,136,0.5393419,-1,502.6667,-1,1,3,932,18968,25
158,88,1.0,-1,646.0,-1,4,0,646,1144,42,129,0.5391211,-1,503.0,-1,4,4,933,17557,42
159,101,1.0,-1,648.0,-1,5,2,648,1186,23,134,0.5392514,-1,504.20004,-1,5,6,935,18967,23
160,90,1.0,-1,648.0,-1,1,0,648,1226,28,136,0.53658885,-1,505.46667,-1,1,13,942,18474,28
161,104,1.0,-1,650.0,-1,3,2,650,1135,30,137,0.53523415,-1,506.8667,-1,3,6,947,18119,30
162,94,1.0,-1,652.0,-1,1,2,652,1233,26,131,0.5358623,-1,508.53336,-1,1,7,949,19705,26
163,110,1.0,-1,655.0,-1,3,3,655,1145,25,144,0.53634775,-1,510.0667,-1,3,7,951,18723,25
164,100,0.99999994,-1,656.0,-1,3,0,656,1211,27,139,0.53598887,-1,511.33337,-1,3,4,954,18377,27
165,123,1.0,-1,657.0,-1,5,1,657,1057,27,141,0.53598326,-1,512.4,-1,5,3,956,17862,27
166,94,1.0,-1,658.0,-1,2,1,658,1235,26,142,0.53611404,-1,514.13336,-1,2,8,959,18634,26
167,106,1.0,-1,659.0,-1,3,0,659,1097,29,145,0.53610826,-1,515.2,-1,3,3,961,17444,29
168,99,1.0,-1,662.0,-1,3,2,662,1183,28,133,0.5370717,-1,517.2,-1,3,5,963,18389,28
169,112,1.0,-1,665.0,-1,2,2,665,1089,26,142,0.5375388,-1,519.80005,-1,2,6,967,17930,26
170,107,1.0,-1,667.0,-1,2,2,667,1107,27,140,0.53774107,-1,520.5334,-1,2,5,968,17244,27
171,100,1.0,-1,667.0,-1,4,0,667,1209,22,140,0.53718215,-1,521.06665,-1,4,3,970,18712,22
172,102,1.0,-1,668.0,-1,2,1,668,1218,20,144,0.53737587,-1,522.8667,-1,2,6,973,19115,20
173,107,1.0,-1,671.0,-1,3,2,671,1197,19,150,0.5373634,-1,524.46674,-1,3,8,976,18683,19
174,108,1.0,-1,672.0,-1,3,1,672,1168,21,145,0.5385929,-1,525.6667,-1,3,8,976,18697,21
175,95,1.0,-1,672.0,-1,0,0,672,1272,24,138,0.53879225,-1,526.4,-1,0,6,977,20080,24
176,96,1.0,-1,672.0,-1,2,0,672,1181,31,133,0.53905934,-1,527.2001,-1,2,6,978,18295,31
177,95,1.0,-1,674.0,-1,0,2,674,1132,40,135,0.53925776,-1,527.93335,-1,0,7,979,17824,40
178,92,1.0,-1,675.0,-1,1,1,675,1232,31,125,0.5394496,-1,529.2001,-1,1,8,981,19253,31
179,104,1.0,-1,678.0,-1,1,3,678,1194,25,144,0.54019016,-1,530.46674,-1,1,5,982,18522,25
180,91,1.0,-1,678.0,-1,3,0,678,1171,36,118,0.54019016,-1,530.46674,-1,3,0,982,19128,36
181,97,1.0,-1,680.0,-1,2,1,680,1185,36,136,0.5399729,-1,531.3334,-1,2,2,984,18570,36
182,101,1.0,-1,681.0,-1,2,1,681,1173,30,135,0.54029053,-1,533.2667,-1,2,6,987,18841,30
183,90,1.0,-1,684.0,-1,1,3,684,1203,36,129,0.54007417,-1,534.13336,-1,1,7,989,19230,36
184,110,1.0,-1,689.0,-1,2,4,689,1114,25,147,0.5410463,-1,537.80005,-1,2,8,994,17592,25
185,99,1.0,-1,690.0,-1,2,1,690,1209,28,139,0.54204357,-1,539.3334,-1,2,6,995,19292,28
186,96,1.0,-1,693.0,-1,4,3,693,1216,26,137,0.54228467,-1,541.2001,-1,4,13,998,18885,26
187,98,1.0,-1,696.0,-1,0,3,696,1132,36,130,0.5434101,-1,542.8667,-1,0,8,999,18202,36
188,109,1.0,-1,699.0,-1,3,1,699,1114,28,135,0.5443224,-1,544.8667,-1,3,2,1001,18591,28
189,108,1.0,-1,701.0,-1,1,2,701,1082,28,143,0.5456963,-1,547.3334,-1,1,9,1003,17719,28
190,98,1.0,-1,702.0,-1,1,1,702,1143,33,133,0.54634804,-1,548.5334,-1,1,3,1004,18428,33
191,112,1.0,-1,704.0,-1,2,1,704,1086,28,144,0.54736847,-1,551.2001,-1,2,10,1007,17485,28
192,106,0.99999994,-1,705.0,-1,1,1,705,1051,36,133,0.54809666,-1,551.93335,-1,1,4,1007,17231,36
193,110,1.0,-1,707.0,-1,1,2,707,1125,25,141,0.5470627,-1,552.5333,-1,1,5,1010,18559,25
194,110,1.0,-1,708.0,-1,2,1,708,1197,17,145,0.5474309,-1,554.0,-1,2,6,1012,18525,17
195,102,1.0,-1,709.0,-1,0,1,709,1165,29,142,0.5471538,-1,554.2667,-1,0,4,1013,18769,29
196,105,1.0,-1,709.0,-1,2,0,709,1190,26,140,0.5470085,-1,554.6666,-1,2,3,1014,18739,26
197,98,1.0,-1,709.0,-1,0,0,709,1201,28,135,0.54727155,-1,554.93335,-1,0,3,1014,18462,28
